Run,lr_start,lr_decay,epoch_decay,batch_size,dropout,epochs,Type,1,2,3,4,5,6,7,8,9,10
1,3.00E-06,1,1,8,0,10,train,1.009333607,0.568648766,0.567306503,0.53268608,0.489463724,0.475284351,0.467226951,0.461149418,0.453967724,0.448869903
1,3.00E-06,1,1,8,0,10,val,0.571544301,0.597204236,0.567623963,0.528402004,0.532096809,0.508801423,0.510694001,0.506118344,0.504658107,0.501012362
3,3.00E-05,1,1,8,0,10,train,0.71007314,0.498579821,0.459709899,0.432580039,0.412498872,0.367709267,0.342993624,0.331307687,0.295129708,0.268270762
3,3.00E-05,1,1,8,0,10,val,0.59100275,0.488336158,0.485777471,0.495147486,0.493049648,0.490005076,0.49898742,0.511215152,0.49575187,0.49136829
1,3.00E-05,0.9,1,8,0,10,train,0.78334297,0.525370726,0.489337788,0.467249919,0.445758983,0.42328755,0.401519332,0.37973064,0.367340106,0.3453155
1,3.00E-05,0.9,1,8,0,10,val,0.540768209,0.525809939,0.504027785,0.50482458,0.507122137,0.499826084,0.494650863,0.50467387,0.516825607,0.499605041
2,3.00E-05,0.7,1,8,0,10,train,0.882933173,0.523349812,0.503319943,0.488818336,0.481969826,0.473382115,0.466702846,0.458962639,0.452851874,0.446865245
2,3.00E-05,0.7,1,8,0,10,val,0.537444854,0.515050402,0.510236501,0.497659582,0.499697462,0.492367872,0.485477262,0.49437815,0.496080308,0.486777334
2,1.50E-05,1,1,8,0,10,train,0.766414984,0.507910137,0.478710069,0.454488232,0.420260033,0.396053034,0.377993369,0.359899308,0.334508459,0.316512734
2,1.50E-05,1,1,8,0,10,val,0.548405195,0.487004727,0.490177881,0.49301376,0.48688016,0.490797465,0.489965546,0.490160377,0.490855055,0.489998457
4,0.0003,1,1,8,0,10,train,0.760174518,0.656875884,0.653611132,0.654006997,0.650755237,0.649498552,0.649864667,0.64647519,0.643288778,0.642946394
4,0.0003,1,1,8,0,10,val,0.632132461,0.633889482,0.631386498,0.633456437,0.641347677,0.643736412,0.638692686,0.627047125,0.631142722,0.632393148
3,0.0003,0.9,1,8,0,10,train,0.743597709,0.663007541,0.657732082,0.653962235,0.652938721,0.651237614,0.647530688,0.64653038,0.6450146,0.642413881
3,0.0003,0.9,1,8,0,10,val,0.642558796,0.635252695,0.638466074,0.638589956,0.636578735,0.639584113,0.642380249,0.633500356,0.63041418,0.630365461
4,0.0003,0.7,1,8,0,10,train,0.681265671,0.50845031,0.473070298,0.441640833,0.418894842,0.394480828,0.357349242,0.333779374,0.309955664,0.277267729
4,0.0003,0.7,1,8,0,10,val,0.596829129,0.561049845,0.50619742,0.505774297,0.512813892,0.505246356,0.49257512,0.500400208,0.510181732,0.495794644
1,3.00E-06,0.9,1,8,0,10,,,,,,,,,,,
2,3.00E-06,0.7,1,8,0,10,,,,,,,,,,,
3,1.50E-05,0.9,1,8,0,10,,,,,,,,,,,
4,1.50E-05,0.7,1,8,0,10,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,1,0.9,0.7,,,,,,,,,,,,,
,3.00E-06,0.501,,,,,,,,,,,,,,,
,3.00E-05,0.491,0.500,0.487,,,,,,,,,,,,,
,1.50E-05,0.490,,,,,,,,,,,,,,,
,0.0003,0.632,0.630,0.496,,,,,,,,,,,,,
